Model,Accuracy,Precision,Recall,F1,AUC
LightGBM_Tuned,0.7991483321504613,0.6919831223628692,0.4385026737967914,0.5368248772504092,0.848363429693353
LogisticRegression,0.8048261178140526,0.6666666666666666,0.5294117647058824,0.5901639344262295,0.8459350538634427
XGBoost_Tuned,0.801277501774308,0.6598639455782312,0.5187165775401069,0.5808383233532934,0.8458136350719471
LogisticRegressionCV,0.8034066713981547,0.6622073578595318,0.5294117647058824,0.5884101040118871,0.8457413004727583
LogisticRegression_Tuned,0.8034066713981547,0.6622073578595318,0.5294117647058824,0.5884101040118871,0.8454312950476635
XGBoost,0.7977288857345636,0.6583629893238434,0.4946524064171123,0.5648854961832062,0.8448112841974734
GradientBoosting,0.8041163946061036,0.6725352112676056,0.5106951871657754,0.5805471124620061,0.8437973081195588
AdaBoost,0.7991483321504613,0.6531986531986532,0.5187165775401069,0.5782414307004471,0.8410718437572657
LightGBM,0.7934705464868701,0.6554307116104869,0.4679144385026738,0.5460218408736349,0.8399454907127542
RBF_SVM_Tuned,0.8005677785663591,0.6715867158671587,0.48663101604278075,0.5643410852713179,0.8387635950295795
RandomForest,0.7885024840312278,0.6301369863013698,0.4919786096256685,0.5525525525525525,0.8284714149164276
Polynomial_SVM,0.8019872249822569,0.7168949771689498,0.4197860962566845,0.5295109612141653,0.8221382624195923
ElasticNet,0.7707594038325053,0.84,0.16844919786096257,0.2806236080178174,0.8174985145573381
RBF_SVM,0.8019872249822569,0.6752767527675276,0.4893048128342246,0.5674418604651162,0.8127993489886073
DecisionTree,0.752306600425834,0.5342465753424658,0.5213903743315508,0.5277401894451962,0.7503371308997908
RidgeClassifier,0.7984386089425124,0.67578125,0.4625668449197861,0.5492063492063493,
LinearSVM,0.8048261178140526,0.6724738675958188,0.516042780748663,0.583963691376702,
